Z,N,exp,sd,SKM,SKP,SLY4,SVMIN,UNEDF0,UNEDF1,A,AME2016,S2n_16,AME2003,S2n_03
13.0,22.0,7.86898,0.01015,9.208992,7.433297,6.414183,7.014862,7.011563000000001,6.291737,35.0,272.54934,7.869011999999941,272.455785,7.7434469999999465
13.0,24.0,6.10934,0.18039,8.250568,6.683164,6.591066000000001,6.626377000000001,6.324244999999999,6.093116999999999,37.0,278.65865499999995,6.109314999999981,278.521903,6.066118000000017
14.0,12.0,34.02884,0.01947,31.278243,30.725295,31.553238,31.448802,31.918458,32.427091,26.0,206.042408,34.028839999999974,206.046022,34.041934
14.0,14.0,30.49440999999999,0.00011,28.246602,27.610599,27.597872,27.576934,28.43527,28.244473,28.0,236.536832,30.49442400000001,236.536832,30.49081000000001
14.0,16.0,19.0828,2e-05,22.215197,22.517754,22.168832,22.175106,22.070257,21.911969,30.0,255.61962,19.082787999999994,255.61959,19.082757999999984
14.0,18.0,15.78736,0.0003,15.217355,16.635425,16.704728,16.63695,15.629095,16.242668,32.0,271.40697600000004,15.787356000000045,271.410208,15.790618000000023
14.0,20.0,12.0218,0.01412,12.916214,13.061825,13.584365,13.400578,12.823082,13.004216,34.0,283.428794,12.02181799999994,283.428692,12.018484
14.0,22.0,8.62191,0.07317,10.42783,9.367593,8.519307000000001,8.917845,9.057644999999999,7.897853,36.0,292.05068400000005,8.621890000000064,292.09705199999996,8.66835999999995
14.0,24.0,7.87681,0.12703,9.727149,7.987017999999999,7.774375999999999,7.90314,7.610923,7.499209,38.0,299.927502,7.8768179999999575,299.824484,7.727432000000022
14.0,26.0,6.542659999999999,0.36068,8.395569,6.681584,6.203467,6.481203,6.359716000000001,5.754793,40.0,306.47016,6.542658000000017,306.43276000000003,6.608276000000046
15.0,14.0,32.37302,0.02634,30.60743,30.047862,30.160706,30.189104,30.95215,31.06061,29.0,239.28584400000003,32.37301800000003,239.285612,32.37821299999996
